Meta,Categoria,Create time,Descrição,Frequência,Observações,Responsável,Roda da vida,Status,Week/day/month,record source
Aprimorar uma habilidade,career (TimeIsMoney),"July 30, 2025 8:36 PM",Focar em uma soft ou hard skill,2 Semanal,"Curso, prática, mentoria","Iarla, Charlles Dannilo",,dream,,
Emotional check,spirit and soul (Mood+Time),"July 30, 2025 8:36 PM",Conversar sobre como estão se sentindo,1 Diária,10 minutos antes de dormir |  Evita acúmulo de estresse,"Iarla, Charlles Dannilo",Equilíbrio Emocional,reality,Todo dia,"Daylio, Flo, Other Apps"
"  Guardar dinheiro ",Financeira,"July 30, 2025 8:36 PM",Separar % da renda total para poupança/investimento,3 Mensal," Ex: 20% da renda mensal    ","Iarla, Charlles Dannilo",Recursos Financeiros,goal,10° dia útil,"Excel, Notion, Nubank"
"Participar de reunião, evento ou projetos",career (TimeIsMoney),"July 30, 2025 8:36 PM",Networking ou visibilidade,3 Mensal,1x ao mês  | Conexões e crescimento na área,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
Revisar performance,career (TimeIsMoney),"July 30, 2025 8:36 PM",Refletir sobre entregas e pontos fortes,3 Mensal,1x por mês | Autoanálise ou com feedbacks,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
" Quitar dívidas     ",Financeira,"July 30, 2025 8:36 PM","Focar em pagamento de dívidas com juros altos  ",3 Mensal,"Ex: R$500/mês para quitar cartão    ","Iarla, Charlles Dannilo",,goal,10° dia útil,Nubank
" Reduzir gastos supérfluos",Financeira,"July 30, 2025 8:36 PM","Evitar delivery, compras por impulso, etc. ",2 Semanal,"Máx R$300/mês em lazer opcional      ","Iarla, Charlles Dannilo",Recursos Financeiros,dream,,Money
30 min de  Exercício físico,motor (Health),"July 30, 2025 8:36 PM","Minimo de 30min.
Fazer atividade física (caminhada, treino em casa, academia)",1 Diária,"30 minutos por dia  ","Iarla, Charlles Dannilo",Saúde e Disposição,goal,Todo dia,"GymRats, Health Samsung, Other Apps, Strava"
" Avaliar evolução  ",Financeira,"July 30, 2025 8:36 PM",Revisar juntos o quanto economizaram e onde podem melhorar,3 Mensal,"Planilha ou app de controle atualizado   ","Iarla, Charlles Dannilo",,dream,1° Sunday,"Excel, Notion, Nubank"
Estudar um tema específico,study (Mood+Money),"July 30, 2025 8:36 PM","Cada um foca em um tema (ex: inglês, finanças, carreira)",1 Diária,"30 min a 1h/dia | Pode ser leitura, vídeo ou curso ","Iarla, Charlles Dannilo",Intelectual,goal,Todo dia,"Alura, DIO, Other Apps"
Dar ideias ou liderar algo,career (TimeIsMoney),"July 30, 2025 8:36 PM",Propor algo no trabalho ou ajudar alguém,3 Mensal,Pode ser uma pequena ação ou sugestão,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
